Dataset,Disease,Tissue,Cell_type,CpG,Direction
GSE157341,Liver Cancer,liver,Chol,cg01791000,Hyper
GSE157341,Liver Cancer,liver,Chol,cg01883155,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02066650,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02080909,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02277520,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02296145,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02397114,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02421172,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02490589,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02553054,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02675308,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02851517,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02900213,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02942825,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02973057,Hyper
GSE157341,Liver Cancer,liver,Chol,cg02984430,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03025830,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03042281,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03065459,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03118417,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03132806,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03180953,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03231735,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03238075,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03317402,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03318924,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03324815,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03330762,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03347632,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03347934,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03404339,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03455250,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03499905,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03685774,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03695448,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03720043,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03730249,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03760191,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03771183,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03803102,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03823468,Hyper
GSE157341,Liver Cancer,liver,Chol,cg03950599,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04153135,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04177945,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04189838,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04194054,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04251886,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04281069,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04290779,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04489012,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04527220,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04556412,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04612488,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04670451,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04837616,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04930463,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04949489,Hyper
GSE157341,Liver Cancer,liver,Chol,cg04984818,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05004228,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05091260,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05141333,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05163177,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05166354,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05207620,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05229802,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05253577,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05310774,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05337743,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05485968,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05647756,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05660160,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05684907,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05899507,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05985447,Hyper
GSE157341,Liver Cancer,liver,Chol,cg05998930,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06035600,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06241101,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06350432,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06560912,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06566994,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06689536,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06741528,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06811166,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06815887,Hyper
GSE157341,Liver Cancer,liver,Chol,cg06877599,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07135629,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07236157,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07369559,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07394491,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07463059,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07475468,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07500432,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07507257,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07515565,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07549208,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07554771,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07636037,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07774777,Hyper
GSE157341,Liver Cancer,liver,Chol,cg07850604,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08016336,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08090385,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08284638,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08358983,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08362308,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08410921,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08543952,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08556090,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08560942,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08640475,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08825223,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08840441,Hyper
GSE157341,Liver Cancer,liver,Chol,cg08890883,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09041483,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09075307,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09130658,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09214953,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09243533,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09246749,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09282201,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09395969,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09417937,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09533293,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09664596,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09743500,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09743615,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09767658,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09802389,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09820084,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09837037,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09951485,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09962952,Hyper
GSE157341,Liver Cancer,liver,Chol,cg09973102,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10002185,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10057904,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10082445,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10096378,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10099827,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10132917,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10152624,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10195295,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10387890,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10401367,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10402804,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10404717,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10476962,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10498429,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10556064,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10656742,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10695848,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10722267,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10763234,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10811426,Hyper
GSE157341,Liver Cancer,liver,Chol,cg10974632,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11152463,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11206840,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11225357,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11277230,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11341775,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11344352,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11398523,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11401159,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11576123,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11598720,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11699912,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11798758,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11827925,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11855325,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11884546,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11890354,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11926485,Hyper
GSE157341,Liver Cancer,liver,Chol,cg11946630,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12031346,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12085226,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12159575,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12206571,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12222752,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12290671,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12315892,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12581970,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12610078,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12641569,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12729397,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12739761,Hyper
GSE157341,Liver Cancer,liver,Chol,cg12869229,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13057576,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13158571,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13167816,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13484553,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13565928,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13570982,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13580857,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13617904,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13678641,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13706066,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13714749,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13800209,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13814654,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13826564,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13877670,Hyper
GSE157341,Liver Cancer,liver,Chol,cg13894021,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14118171,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14131555,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14173587,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14203426,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14222314,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14234912,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14242024,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14250881,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14254562,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14264994,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14369455,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14404481,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14412891,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14525247,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14565439,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14567877,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14592933,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14610217,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14702215,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14752838,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14774585,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14784343,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14992273,Hyper
GSE157341,Liver Cancer,liver,Chol,cg14999833,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15152201,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15219320,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15302376,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15308737,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15365028,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15433043,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15516684,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15550572,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15565872,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15593721,Hyper
GSE157341,Liver Cancer,liver,Chol,cg15597855,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16154524,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16180531,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16208395,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16254764,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16316507,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16478733,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16524286,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16617758,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16754364,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16831623,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16970232,Hyper
GSE157341,Liver Cancer,liver,Chol,cg16982087,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17102069,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17128184,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17167972,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17176676,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17217059,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17267804,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17274080,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17276002,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17279652,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17296729,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17342709,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17427675,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17436370,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17478827,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17578755,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17721249,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17743250,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17818220,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17846122,Hyper
GSE157341,Liver Cancer,liver,Chol,cg17930034,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18080604,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18152871,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18183406,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18209835,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18232548,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18232772,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18252855,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18254364,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18267790,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18293555,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18321533,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18376817,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18517266,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18525316,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18581669,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18751958,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18754389,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18772361,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18878134,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18892790,Hyper
GSE157341,Liver Cancer,liver,Chol,cg18953784,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19104757,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19131736,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19289969,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19631651,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19640789,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19706516,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19736671,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19858280,Hyper
GSE157341,Liver Cancer,liver,Chol,cg19963313,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20025003,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20036915,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20075683,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20287790,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20311501,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20402747,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20490341,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20568227,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20696752,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20707786,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20730432,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20750606,Hyper
GSE157341,Liver Cancer,liver,Chol,cg20898283,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21038957,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21104276,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21238257,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21527621,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21548464,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21554217,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21605238,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21655280,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21658235,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21708867,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21724796,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21856645,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21935113,Hyper
GSE157341,Liver Cancer,liver,Chol,cg21941223,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22068093,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22070462,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22127901,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22257786,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22274251,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22358276,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22382021,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22399111,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22476542,Hyper
GSE157341,Liver Cancer,liver,Chol,cg22799110,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23005227,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23090159,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23093589,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23255020,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23272978,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23344136,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23365135,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23442621,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23586996,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23602058,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23670415,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23677584,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23687288,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23694371,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23731992,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23843398,Hyper
GSE157341,Liver Cancer,liver,Chol,cg23947545,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24133771,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24136314,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24146100,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24165921,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24342013,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24555591,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24629941,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24688837,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24726121,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24795274,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24831879,Hyper
GSE157341,Liver Cancer,liver,Chol,cg24921186,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25004840,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25114781,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25245082,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25343163,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25380171,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25478037,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25481705,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25483854,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25485956,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25561904,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25566730,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25602159,Hyper
GSE157341,Liver Cancer,liver,Chol,cg25776555,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26148904,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26239495,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26340084,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26361041,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26394055,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26467269,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26512254,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26539522,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26558485,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26600753,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26861732,Hyper
GSE157341,Liver Cancer,liver,Chol,cg26983469,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27055365,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27205904,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27218154,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27219841,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27235337,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27239168,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27272402,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27300804,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27360992,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27367235,Hyper
GSE157341,Liver Cancer,liver,Chol,cg27475923,Hyper
GSE157341,Liver Cancer,liver,Chol,cg00004996,Hypo
GSE157341,Liver Cancer,liver,Chol,cg00005740,Hypo
