CpG,Discovery_group
cg17836612,Common
cg18533225,Common
cg18686270,Common
cg18749404,Common
cg18978531,Common
cg21848084,Common
cg22713958,Common
cg23571857,Common
cg23661483,Common
cg24304309,Common
cg24705939,Common
cg25178683,Common
cg26651978,Common
cg26724018,Common
cg26734888,Common
cg00078245,haEWAS-specific
cg00086710,haEWAS-specific
cg00130530,haEWAS-specific
cg00154554,haEWAS-specific
cg00160619,haEWAS-specific
cg00165994,haEWAS-specific
cg00171783,haEWAS-specific
cg00172812,haEWAS-specific
cg00228796,haEWAS-specific
cg00232265,haEWAS-specific
cg00234027,haEWAS-specific
cg00257455,haEWAS-specific
cg00300298,haEWAS-specific
cg00309945,haEWAS-specific
cg00339319,haEWAS-specific
cg00394844,haEWAS-specific
cg00417323,haEWAS-specific
cg00417823,haEWAS-specific
cg00421221,haEWAS-specific
cg00422311,haEWAS-specific
cg00458211,haEWAS-specific
cg00474696,haEWAS-specific
cg00477086,haEWAS-specific
cg00492070,haEWAS-specific
cg00508575,haEWAS-specific
cg00547480,haEWAS-specific
cg00569896,haEWAS-specific
cg00587301,haEWAS-specific
cg00598235,haEWAS-specific
cg00608661,haEWAS-specific
cg00676801,haEWAS-specific
cg00736681,haEWAS-specific
cg00832476,haEWAS-specific
cg00855901,haEWAS-specific
cg00883493,haEWAS-specific
cg00898013,haEWAS-specific
cg00907204,haEWAS-specific
cg00926285,haEWAS-specific
cg00955808,haEWAS-specific
cg00995368,haEWAS-specific
cg01020263,haEWAS-specific
cg01028142,haEWAS-specific
cg01044025,haEWAS-specific
cg01069808,haEWAS-specific
cg01218053,haEWAS-specific
cg01235820,haEWAS-specific
cg01236751,haEWAS-specific
cg01254505,haEWAS-specific
cg01329005,haEWAS-specific
cg01333327,haEWAS-specific
cg01365608,haEWAS-specific
cg01372572,haEWAS-specific
cg01394255,haEWAS-specific
cg01418645,haEWAS-specific
cg01425021,haEWAS-specific
cg01433297,haEWAS-specific
cg01455178,haEWAS-specific
cg01474840,haEWAS-specific
cg01548777,haEWAS-specific
cg01595262,haEWAS-specific
cg01612824,haEWAS-specific
cg01711077,haEWAS-specific
cg01721555,haEWAS-specific
cg01739831,haEWAS-specific
cg01810186,haEWAS-specific
cg01819512,haEWAS-specific
cg01819568,haEWAS-specific
cg01869186,haEWAS-specific
cg01892547,haEWAS-specific
cg01894192,haEWAS-specific
cg01905478,haEWAS-specific
cg01929340,haEWAS-specific
cg01948202,haEWAS-specific
cg01973483,haEWAS-specific
cg01977762,haEWAS-specific
cg02134839,haEWAS-specific
cg02145701,haEWAS-specific
cg02183531,haEWAS-specific
cg02222791,haEWAS-specific
cg02225786,haEWAS-specific
cg02246992,haEWAS-specific
cg02247863,haEWAS-specific
cg02260363,haEWAS-specific
cg02276070,haEWAS-specific
cg02280912,haEWAS-specific
cg02288964,haEWAS-specific
cg02296171,haEWAS-specific
cg02311864,haEWAS-specific
cg02314339,haEWAS-specific
cg02329430,haEWAS-specific
cg02470690,haEWAS-specific
cg02482346,haEWAS-specific
cg02494066,haEWAS-specific
cg02499214,haEWAS-specific
cg02519879,haEWAS-specific
cg02558026,haEWAS-specific
cg02577773,haEWAS-specific
cg02583620,haEWAS-specific
cg02618733,haEWAS-specific
cg02652978,haEWAS-specific
cg02657384,haEWAS-specific
cg02711608,haEWAS-specific
cg02711899,haEWAS-specific
cg02727423,haEWAS-specific
cg02751731,haEWAS-specific
cg02767093,haEWAS-specific
cg02934300,haEWAS-specific
cg02990033,haEWAS-specific
cg02995045,haEWAS-specific
cg03001484,haEWAS-specific
cg03096285,haEWAS-specific
cg03163343,haEWAS-specific
cg03166962,haEWAS-specific
cg03185752,haEWAS-specific
cg03215419,haEWAS-specific
cg03290131,haEWAS-specific
cg03297731,haEWAS-specific
cg03403880,haEWAS-specific
cg03466198,haEWAS-specific
cg03481445,haEWAS-specific
cg03520802,haEWAS-specific
cg03565674,haEWAS-specific
cg03590031,haEWAS-specific
cg03636394,haEWAS-specific
cg03672272,haEWAS-specific
cg03674496,haEWAS-specific
cg03678729,haEWAS-specific
cg03732020,haEWAS-specific
cg03854595,haEWAS-specific
cg03887528,haEWAS-specific
cg03895221,haEWAS-specific
cg03963853,haEWAS-specific
cg04005677,haEWAS-specific
cg04153536,haEWAS-specific
cg04158069,haEWAS-specific
cg04211937,haEWAS-specific
cg04244493,haEWAS-specific
cg04250930,haEWAS-specific
cg04300115,haEWAS-specific
cg04323925,haEWAS-specific
cg04433322,haEWAS-specific
cg04442417,haEWAS-specific
cg04445427,haEWAS-specific
cg04587428,haEWAS-specific
cg04590721,haEWAS-specific
cg04671742,haEWAS-specific
cg04682775,haEWAS-specific
cg04686545,haEWAS-specific
cg04709675,haEWAS-specific
cg04715503,haEWAS-specific
cg04726374,haEWAS-specific
cg04728863,haEWAS-specific
cg04800503,haEWAS-specific
cg04850999,haEWAS-specific
cg04856285,haEWAS-specific
cg04914283,haEWAS-specific
cg04945608,haEWAS-specific
cg05010111,haEWAS-specific
cg05065507,haEWAS-specific
cg05127574,haEWAS-specific
cg05150077,haEWAS-specific
cg05163509,haEWAS-specific
cg05168580,haEWAS-specific
cg05228338,haEWAS-specific
cg05248321,haEWAS-specific
cg05251190,haEWAS-specific
cg05261851,haEWAS-specific
cg05270535,haEWAS-specific
cg05331731,haEWAS-specific
cg05357039,haEWAS-specific
cg05461503,haEWAS-specific
cg05483571,haEWAS-specific
cg05485462,haEWAS-specific
cg05513208,haEWAS-specific
cg05583014,haEWAS-specific
cg05618426,haEWAS-specific
cg05658236,haEWAS-specific
cg05696877,haEWAS-specific
cg05781984,haEWAS-specific
cg05823563,haEWAS-specific
cg05856321,haEWAS-specific
cg05920383,haEWAS-specific
cg05926722,haEWAS-specific
cg05992400,haEWAS-specific
cg06115576,haEWAS-specific
cg06117341,haEWAS-specific
cg06188083,haEWAS-specific
cg06195280,haEWAS-specific
cg06226703,haEWAS-specific
cg06279276,haEWAS-specific
cg06295590,haEWAS-specific
cg06345736,haEWAS-specific
cg06376949,haEWAS-specific
cg06382546,haEWAS-specific
cg06473578,haEWAS-specific
cg06485308,haEWAS-specific
cg06489965,haEWAS-specific
cg06507987,haEWAS-specific
cg06545490,haEWAS-specific
cg06560379,haEWAS-specific
cg06613515,haEWAS-specific
cg06615754,haEWAS-specific
cg06726490,haEWAS-specific
cg06756211,haEWAS-specific
cg06811183,haEWAS-specific
cg06818327,haEWAS-specific
cg06872964,haEWAS-specific
cg06874323,haEWAS-specific
cg06899799,haEWAS-specific
cg06951627,haEWAS-specific
cg06988336,haEWAS-specific
cg07013148,haEWAS-specific
cg07028396,haEWAS-specific
cg07107453,haEWAS-specific
cg07140459,haEWAS-specific
cg07209686,haEWAS-specific
cg07218081,haEWAS-specific
cg07253125,haEWAS-specific
cg07253769,haEWAS-specific
cg07312240,haEWAS-specific
cg07366462,haEWAS-specific
cg07426960,haEWAS-specific
cg07429146,haEWAS-specific
cg07539709,haEWAS-specific
cg07596065,haEWAS-specific
cg07635132,haEWAS-specific
cg07661704,haEWAS-specific
cg07737182,haEWAS-specific
cg07787977,haEWAS-specific
cg07970325,haEWAS-specific
cg08016257,haEWAS-specific
cg08088390,haEWAS-specific
cg08122652,haEWAS-specific
cg08189186,haEWAS-specific
cg08199758,haEWAS-specific
cg08241514,haEWAS-specific
cg08244262,haEWAS-specific
cg08335767,haEWAS-specific
cg08437570,haEWAS-specific
cg08449448,haEWAS-specific
cg08461339,haEWAS-specific
cg08491125,haEWAS-specific
cg08577293,haEWAS-specific
cg08619515,haEWAS-specific
cg08631783,haEWAS-specific
cg08632767,haEWAS-specific
cg08711063,haEWAS-specific
cg08748184,haEWAS-specific
cg08759723,haEWAS-specific
cg08797864,haEWAS-specific
cg08802482,haEWAS-specific
cg08830672,haEWAS-specific
cg08866865,haEWAS-specific
cg08880369,haEWAS-specific
cg08882472,haEWAS-specific
cg08915438,haEWAS-specific
cg08954353,haEWAS-specific
cg08996521,haEWAS-specific
cg09014329,haEWAS-specific
cg09015774,haEWAS-specific
cg09075925,haEWAS-specific
cg09093409,haEWAS-specific
cg09104284,haEWAS-specific
cg09118053,haEWAS-specific
cg09144592,haEWAS-specific
cg09198200,haEWAS-specific
cg09242293,haEWAS-specific
cg09410045,haEWAS-specific
cg09417209,haEWAS-specific
cg09454892,haEWAS-specific
cg09548275,haEWAS-specific
cg09548780,haEWAS-specific
cg09569850,haEWAS-specific
cg09596260,haEWAS-specific
cg09620718,haEWAS-specific
cg09624807,haEWAS-specific
cg09665332,haEWAS-specific
cg09674170,haEWAS-specific
cg09722609,haEWAS-specific
cg09728392,haEWAS-specific
cg09759588,haEWAS-specific
cg09784886,haEWAS-specific
cg09805709,haEWAS-specific
cg09843907,haEWAS-specific
cg09844573,haEWAS-specific
cg09867953,haEWAS-specific
cg09883745,haEWAS-specific
cg09973105,haEWAS-specific
cg09978353,haEWAS-specific
cg09993699,haEWAS-specific
cg10032387,haEWAS-specific
cg10100117,haEWAS-specific
cg10143416,haEWAS-specific
cg10173172,haEWAS-specific
cg10276116,haEWAS-specific
cg10316141,haEWAS-specific
cg10375559,haEWAS-specific
cg10385692,haEWAS-specific
cg10402321,haEWAS-specific
cg10467098,haEWAS-specific
cg10486655,haEWAS-specific
cg10514093,haEWAS-specific
cg10519093,haEWAS-specific
cg10530889,haEWAS-specific
cg10549986,haEWAS-specific
cg10566660,haEWAS-specific
cg10577534,haEWAS-specific
cg10583876,haEWAS-specific
cg10585586,haEWAS-specific
cg10616795,haEWAS-specific
cg10676309,haEWAS-specific
cg10723431,haEWAS-specific
cg10755723,haEWAS-specific
cg10922280,haEWAS-specific
cg10943263,haEWAS-specific
cg10950251,haEWAS-specific
cg10967866,haEWAS-specific
cg11055449,haEWAS-specific
cg11067829,haEWAS-specific
cg11105610,haEWAS-specific
cg11132913,haEWAS-specific
cg11163555,haEWAS-specific
cg11202345,haEWAS-specific
cg11231349,haEWAS-specific
cg11417360,haEWAS-specific
cg11436362,haEWAS-specific
cg11492723,haEWAS-specific
cg11521079,haEWAS-specific
cg11564829,haEWAS-specific
cg11592230,haEWAS-specific
cg11606195,haEWAS-specific
cg11617938,haEWAS-specific
cg11656478,haEWAS-specific
cg11681597,haEWAS-specific
cg11699265,haEWAS-specific
cg11737298,haEWAS-specific
cg11779113,haEWAS-specific
cg11792671,haEWAS-specific
cg11847933,haEWAS-specific
cg11930197,haEWAS-specific
cg11946459,haEWAS-specific
cg12090003,haEWAS-specific
cg12129480,haEWAS-specific
cg12195369,haEWAS-specific
cg12224388,haEWAS-specific
cg12257439,haEWAS-specific
cg12284870,haEWAS-specific
cg12359279,haEWAS-specific
cg12380441,haEWAS-specific
cg12461141,haEWAS-specific
cg12467226,haEWAS-specific
cg12505699,haEWAS-specific
cg12516875,haEWAS-specific
cg12526091,haEWAS-specific
cg12552889,haEWAS-specific
cg12556586,haEWAS-specific
cg12577010,haEWAS-specific
cg12582028,haEWAS-specific
cg12612137,haEWAS-specific
cg12635790,haEWAS-specific
cg12649038,haEWAS-specific
cg12678695,haEWAS-specific
cg12729160,haEWAS-specific
cg12751042,haEWAS-specific
cg12779575,haEWAS-specific
cg12800266,haEWAS-specific
cg12836643,haEWAS-specific
cg12880300,haEWAS-specific
cg12899248,haEWAS-specific
cg13100600,haEWAS-specific
cg13130398,haEWAS-specific
cg13144059,haEWAS-specific
cg13257412,haEWAS-specific
cg13265524,haEWAS-specific
cg13284470,haEWAS-specific
cg13304609,haEWAS-specific
cg13320842,haEWAS-specific
cg13354988,haEWAS-specific
cg13419792,haEWAS-specific
cg13473120,haEWAS-specific
cg13480898,haEWAS-specific
cg13491490,haEWAS-specific
cg13507964,haEWAS-specific
cg13572071,haEWAS-specific
cg13617776,haEWAS-specific
cg13626632,haEWAS-specific
cg13681142,haEWAS-specific
cg13698224,haEWAS-specific
cg13726843,haEWAS-specific
cg13728308,haEWAS-specific
cg13827209,haEWAS-specific
cg13876921,haEWAS-specific
cg13878066,haEWAS-specific
cg13910377,haEWAS-specific
cg13934625,haEWAS-specific
cg14001035,haEWAS-specific
cg14053764,haEWAS-specific
cg14057760,haEWAS-specific
cg14068176,haEWAS-specific
cg14135596,haEWAS-specific
cg14159342,haEWAS-specific
cg14179944,haEWAS-specific
cg14190761,haEWAS-specific
cg14292870,haEWAS-specific
cg14312439,haEWAS-specific
cg14376106,haEWAS-specific
cg14473344,haEWAS-specific
cg14515812,haEWAS-specific
cg14573817,haEWAS-specific
cg14642437,haEWAS-specific
cg14644871,haEWAS-specific
cg14646039,haEWAS-specific
cg14647944,haEWAS-specific
cg14702231,haEWAS-specific
cg14718848,haEWAS-specific
cg14864167,haEWAS-specific
cg14896157,haEWAS-specific
cg14916668,haEWAS-specific
cg14951497,haEWAS-specific
cg14967066,haEWAS-specific
cg14994947,haEWAS-specific
cg15099418,haEWAS-specific
cg15104126,haEWAS-specific
cg15143809,haEWAS-specific
cg15152331,haEWAS-specific
cg15275965,haEWAS-specific
cg15346781,haEWAS-specific
cg15483436,haEWAS-specific
cg15486454,haEWAS-specific
cg15531450,haEWAS-specific
cg15744005,haEWAS-specific
cg15848031,haEWAS-specific
cg15903032,haEWAS-specific
cg15934958,haEWAS-specific
cg15975283,haEWAS-specific
cg16024916,haEWAS-specific
cg16075649,haEWAS-specific
cg16363586,haEWAS-specific
cg16367976,haEWAS-specific
cg16379091,haEWAS-specific
cg16394551,haEWAS-specific
cg16522412,haEWAS-specific
cg16655388,haEWAS-specific
cg16751754,haEWAS-specific
cg17095652,haEWAS-specific
cg17137186,haEWAS-specific
cg17147909,haEWAS-specific
cg17163527,haEWAS-specific
cg17202781,haEWAS-specific
cg17343253,haEWAS-specific
cg17375396,haEWAS-specific
cg17381030,haEWAS-specific
cg17445535,haEWAS-specific
cg17459635,haEWAS-specific
cg17482649,haEWAS-specific
cg17501210,haEWAS-specific
cg17516571,haEWAS-specific
cg17593958,haEWAS-specific
cg17607231,haEWAS-specific
cg17608381,haEWAS-specific
cg17648076,haEWAS-specific
cg17701159,haEWAS-specific
cg17724184,haEWAS-specific
cg17801765,haEWAS-specific
cg17815049,haEWAS-specific
cg17825130,haEWAS-specific
cg17953300,haEWAS-specific
cg17980508,haEWAS-specific
cg18062721,haEWAS-specific
cg18083248,haEWAS-specific
cg18094401,haEWAS-specific
cg18137244,haEWAS-specific
cg18229178,haEWAS-specific
cg18334681,haEWAS-specific
cg18390495,haEWAS-specific
cg18434560,haEWAS-specific
cg18493971,haEWAS-specific
cg18518074,haEWAS-specific
cg18524934,haEWAS-specific
cg18537205,haEWAS-specific
cg18685879,haEWAS-specific
cg18770635,haEWAS-specific
cg19003304,haEWAS-specific
cg19009305,haEWAS-specific
cg19025272,haEWAS-specific
cg19095981,haEWAS-specific
cg19137806,haEWAS-specific
cg19143990,haEWAS-specific
cg19198483,haEWAS-specific
cg19226017,haEWAS-specific
cg19241468,haEWAS-specific
cg19318537,haEWAS-specific
cg19421584,haEWAS-specific
cg19515108,haEWAS-specific
cg19651003,haEWAS-specific
cg19687075,haEWAS-specific
cg19724470,haEWAS-specific
cg19751789,haEWAS-specific
cg19766489,haEWAS-specific
cg19841423,haEWAS-specific
cg19844326,haEWAS-specific
cg19925215,haEWAS-specific
cg20062691,haEWAS-specific
cg20066792,haEWAS-specific
cg20092122,haEWAS-specific
cg20102336,haEWAS-specific
cg20112376,haEWAS-specific
cg20152413,haEWAS-specific
cg20160197,haEWAS-specific
cg20184247,haEWAS-specific
cg20255713,haEWAS-specific
cg20272935,haEWAS-specific
cg20460366,haEWAS-specific
cg20494841,haEWAS-specific
cg20507228,haEWAS-specific
cg20566897,haEWAS-specific
cg20605818,haEWAS-specific
cg20628376,haEWAS-specific
cg20752847,haEWAS-specific
cg20805367,haEWAS-specific
cg20808080,haEWAS-specific
cg20815701,haEWAS-specific
cg20895054,haEWAS-specific
cg20992708,haEWAS-specific
cg21013431,haEWAS-specific
cg21081878,haEWAS-specific
cg21094739,haEWAS-specific
cg21335012,haEWAS-specific
cg21341821,haEWAS-specific
cg21363348,haEWAS-specific
cg21368161,haEWAS-specific
cg21384691,haEWAS-specific
cg21390801,haEWAS-specific
cg21393163,haEWAS-specific
cg21406461,haEWAS-specific
cg21429551,haEWAS-specific
cg21443659,haEWAS-specific
cg21451869,haEWAS-specific
cg21509889,haEWAS-specific
cg21549285,haEWAS-specific
cg21551182,haEWAS-specific
cg21674927,haEWAS-specific
cg21681320,haEWAS-specific
cg21766592,haEWAS-specific
cg21779904,haEWAS-specific
cg21800196,haEWAS-specific
cg21858516,haEWAS-specific
cg21881327,haEWAS-specific
cg21940313,haEWAS-specific
cg21940331,haEWAS-specific
cg22007809,haEWAS-specific
cg22115977,haEWAS-specific
cg22122808,haEWAS-specific
cg22146357,haEWAS-specific
cg22221831,haEWAS-specific
cg22260958,haEWAS-specific
cg22282590,haEWAS-specific
cg22299467,haEWAS-specific
cg22379213,haEWAS-specific
cg22383924,haEWAS-specific
cg22509504,haEWAS-specific
cg22550847,haEWAS-specific
cg22626683,haEWAS-specific
cg22647670,haEWAS-specific
cg22666517,haEWAS-specific
cg22697825,haEWAS-specific
cg22713900,haEWAS-specific
cg22800233,haEWAS-specific
cg22862003,haEWAS-specific
cg22963452,haEWAS-specific
cg22982767,haEWAS-specific
cg23060465,haEWAS-specific
cg23166392,haEWAS-specific
cg23213327,haEWAS-specific
cg23223933,haEWAS-specific
cg23352030,haEWAS-specific
cg23427362,haEWAS-specific
cg23556923,haEWAS-specific
cg23586996,haEWAS-specific
cg23639565,haEWAS-specific
cg23654821,haEWAS-specific
cg23696214,haEWAS-specific
cg23705064,haEWAS-specific
cg23715056,haEWAS-specific
cg23782758,haEWAS-specific
cg23851026,haEWAS-specific
cg23858360,haEWAS-specific
cg23867647,haEWAS-specific
cg23923934,haEWAS-specific
cg23998749,haEWAS-specific
cg24004483,haEWAS-specific
cg24036517,haEWAS-specific
cg24044052,haEWAS-specific
cg24048949,haEWAS-specific
cg24100168,haEWAS-specific
cg24102222,haEWAS-specific
cg24124145,haEWAS-specific
cg24153003,haEWAS-specific
cg24162801,haEWAS-specific
cg24220279,haEWAS-specific
cg24250902,haEWAS-specific
cg24254837,haEWAS-specific
cg24280832,haEWAS-specific
cg24332389,haEWAS-specific
cg24360137,haEWAS-specific
cg24419602,haEWAS-specific
cg24495667,haEWAS-specific
cg24523650,haEWAS-specific
cg24632480,haEWAS-specific
cg24632582,haEWAS-specific
cg24687432,haEWAS-specific
cg24723421,haEWAS-specific
cg24750513,haEWAS-specific
cg24834436,haEWAS-specific
cg24867302,haEWAS-specific
cg24878115,haEWAS-specific
cg24935042,haEWAS-specific
cg25132241,haEWAS-specific
cg25202269,haEWAS-specific
cg25283432,haEWAS-specific
cg25361961,haEWAS-specific
cg25400396,haEWAS-specific
cg25425537,haEWAS-specific
cg25477843,haEWAS-specific
cg25481160,haEWAS-specific
cg25488990,haEWAS-specific
cg25580581,haEWAS-specific
cg25631033,haEWAS-specific
cg25699727,haEWAS-specific
cg25739715,haEWAS-specific
cg25800166,haEWAS-specific
cg25828462,haEWAS-specific
cg25875163,haEWAS-specific
cg25892761,haEWAS-specific
cg25982983,haEWAS-specific
cg26017874,haEWAS-specific
cg26029997,haEWAS-specific
cg26105278,haEWAS-specific
cg26117398,haEWAS-specific
cg26184741,haEWAS-specific
cg26193427,haEWAS-specific
cg26196087,haEWAS-specific
cg26207245,haEWAS-specific
cg26207568,haEWAS-specific
cg26221105,haEWAS-specific
cg26312951,haEWAS-specific
cg26340147,haEWAS-specific
cg26354221,haEWAS-specific
cg26398848,haEWAS-specific
cg26430081,haEWAS-specific
cg26432350,haEWAS-specific
cg26502852,haEWAS-specific
cg26517004,haEWAS-specific
cg26536240,haEWAS-specific
cg26570389,haEWAS-specific
cg26581729,haEWAS-specific
cg26654827,haEWAS-specific
cg26709300,haEWAS-specific
cg26748578,haEWAS-specific
cg26780915,haEWAS-specific
cg26873338,haEWAS-specific
cg26979537,haEWAS-specific
cg27004669,haEWAS-specific
cg27032101,haEWAS-specific
cg27051260,haEWAS-specific
cg27076160,haEWAS-specific
cg27112264,haEWAS-specific
cg27178772,haEWAS-specific
cg27192248,haEWAS-specific
cg27192708,haEWAS-specific
cg27452691,haEWAS-specific
cg27532171,haEWAS-specific
cg27540367,haEWAS-specific
cg27575890,haEWAS-specific
cg27612129,haEWAS-specific
cg27639575,haEWAS-specific
cg27651238,haEWAS-specific
