CpG,Venn_category
cg00945260,Common
cg00957901,Common
cg00965578,Common
cg00969405,Common
cg00975624,Common
cg00979931,Common
cg00980649,EWAS-specific
cg00982521,Common
cg00989365,Common
cg00990350,Common
cg00990385,Common
cg00994629,Common
cg00999152,EWAS-specific
cg01008405,Common
cg01018360,haEWAS-specific
cg01021658,haEWAS-specific
cg01024962,Common
cg01026383,EWAS-specific
cg01027532,Common
cg01032675,EWAS-specific
cg01037082,Common
cg01038597,EWAS-specific
cg01054110,Common
cg01060471,Common
cg01062942,Common
cg01078248,EWAS-specific
cg01080902,Common
cg01081584,EWAS-specific
cg01089914,Common
cg01091117,Common
cg01093065,EWAS-specific
cg01099580,EWAS-specific
cg01102833,Common
cg01108243,Common
cg01117339,Common
cg01132696,EWAS-specific
cg01132893,EWAS-specific
cg01133215,Common
cg01139039,Common
cg01139861,Common
cg01141438,Common
cg01147055,Common
cg01154966,haEWAS-specific
cg01163340,Common
cg01173941,Common
cg01174743,Common
cg01175550,Common
cg01178099,Common
cg01180479,Common
cg01192077,Common
cg01204844,Common
cg01207734,haEWAS-specific
cg01209642,Common
cg01215742,Common
cg01217984,Common
cg01220257,Common
cg01226614,Common
cg01231381,Common
cg01238672,EWAS-specific
cg01240931,Common
cg01269795,Common
cg01274122,Common
cg01276536,Common
cg01278291,Common
cg01287088,Common
cg01291088,Common
cg01294702,haEWAS-specific
cg01301319,Common
cg01307108,haEWAS-specific
cg01308419,EWAS-specific
cg01315067,EWAS-specific
cg01317029,Common
cg01323381,Common
cg01323777,Common
cg01326048,Common
cg01353646,Common
cg01370449,Common
cg01372366,Common
cg01382502,Common
cg01405107,Common
cg01408486,Common
cg01415937,EWAS-specific
cg01416295,Common
cg01419713,Common
cg01429558,haEWAS-specific
cg01431057,Common
cg01434487,haEWAS-specific
cg01436998,haEWAS-specific
cg01439383,Common
cg01447475,EWAS-specific
cg01449674,Common
cg01460991,Common
cg01463828,Common
cg01476222,Common
cg01478234,Common
cg01487910,Common
cg01496136,Common
cg01511806,EWAS-specific
cg01514668,haEWAS-specific
cg01519094,Common
cg01519765,haEWAS-specific
cg01526089,Common
cg01534572,EWAS-specific
cg01539849,Common
cg01543300,haEWAS-specific
cg01545109,Common
cg01558645,Common
cg01564661,Common
cg01565774,Common
cg01567509,Common
cg01571001,Common
cg01574390,Common
cg01588592,Common
cg01590338,Common
cg01604380,EWAS-specific
cg01604883,Common
cg01605783,Common
cg01612133,Common
cg01619345,EWAS-specific
cg01626885,EWAS-specific
cg01631215,Common
cg01642550,Common
cg01652190,Common
cg01653446,EWAS-specific
cg01655008,EWAS-specific
cg01657186,Common
cg01660934,EWAS-specific
cg01664864,EWAS-specific
cg01666652,Common
cg01668008,Common
cg01671212,Common
cg01684361,Common
cg01687558,EWAS-specific
cg01688936,Common
cg01691710,Common
cg01697865,EWAS-specific
cg01698392,Common
cg01699740,Common
cg01702055,Common
cg01703736,haEWAS-specific
cg01722297,Common
cg01723606,EWAS-specific
cg01731500,Common
cg01739831,Common
cg01748892,Common
cg01753263,Common
cg01771479,EWAS-specific
cg01773518,Common
cg01792117,EWAS-specific
cg01798261,EWAS-specific
cg01815128,EWAS-specific
cg01816936,Common
cg01817067,Common
cg01817364,Common
cg01829163,Common
cg01833890,Common
cg01851672,Common
cg01856384,Common
cg01856529,Common
cg01859228,Common
cg01861913,Common
cg01866022,Common
cg01870657,Common
cg01874730,Common
cg01876130,Common
cg01877450,Common
cg01891818,Common
cg01902845,Common
cg01937212,EWAS-specific
cg01941881,Common
cg01945840,EWAS-specific
cg01951274,Common
cg01955533,Common
cg01957582,Common
cg01964852,Common
cg01966665,Common
cg01973695,Common
cg01978937,Common
cg01987516,Common
cg02000253,Common
cg02004337,Common
cg02008285,EWAS-specific
cg02010852,haEWAS-specific
cg02012853,haEWAS-specific
cg02014853,EWAS-specific
cg02017450,Common
cg02023973,Common
cg02026204,Common
cg02026306,Common
cg02028339,Common
cg02030929,haEWAS-specific
cg02039271,haEWAS-specific
cg02041484,EWAS-specific
cg02049405,EWAS-specific
cg02054431,EWAS-specific
cg02059317,Common
cg02066343,Common
cg02073304,Common
cg02075410,Common
cg02086025,Common
cg02101355,EWAS-specific
cg02106682,Common
cg02110830,Common
cg02124912,Common
cg02127980,Common
cg02142483,Common
cg02143404,Common
cg02145002,EWAS-specific
cg02145668,Common
cg02148612,EWAS-specific
cg02152034,Common
cg02153814,Common
cg02156769,Common
cg02158978,haEWAS-specific
cg02159718,haEWAS-specific
cg02170785,Common
cg02175873,Common
cg02182476,Common
cg02189760,Common
cg02192965,EWAS-specific
cg02207686,Common
cg02211646,Common
cg02212575,EWAS-specific
cg02216731,Common
cg02225599,Common
cg02226192,Common
cg02230495,haEWAS-specific
cg02231404,Common
cg02237342,EWAS-specific
cg02243522,Common
cg02244028,Common
cg02244175,Common
cg02247178,Common
cg02254407,Common
cg02258534,Common
cg02266731,Common
cg02268192,Common
cg02278841,Common
cg02283151,Common
cg02283487,Common
cg02284273,Common
cg02286081,EWAS-specific
cg02289040,Common
cg02292809,Common
cg02293044,Common
cg02296478,Common
cg02297709,Common
cg02297801,Common
cg02298525,Common
cg02304370,EWAS-specific
cg02308560,Common
cg02314201,EWAS-specific
cg02317313,Common
cg02324432,Common
cg02329038,Common
cg02341556,haEWAS-specific
cg02342594,Common
cg02349866,Common
cg02357508,EWAS-specific
cg02365539,EWAS-specific
cg02372744,Common
cg02375208,EWAS-specific
cg02382221,Common
cg02384911,EWAS-specific
cg02390801,EWAS-specific
cg02415431,EWAS-specific
cg02435538,Common
cg02438611,EWAS-specific
cg02439266,Common
cg02447287,haEWAS-specific
cg02447879,EWAS-specific
cg02454210,haEWAS-specific
cg02458516,Common
cg02459543,Common
cg02468154,EWAS-specific
cg02481950,Common
cg02483701,EWAS-specific
cg02489552,Common
cg02490942,Common
cg02497428,Common
cg02497558,Common
cg02506717,Common
cg02512168,Common
cg02522196,Common
cg02531437,Common
cg02538681,Common
cg02551646,Common
cg02568716,EWAS-specific
cg02573234,Common
cg02578944,haEWAS-specific
cg02581421,haEWAS-specific
cg02583525,Common
cg02592798,haEWAS-specific
cg02597698,haEWAS-specific
cg02616418,haEWAS-specific
cg02627227,Common
cg02627455,Common
cg02637537,Common
cg02645368,Common
cg02648064,Common
cg02649613,Common
cg02649698,Common
cg02659854,Common
cg02674465,EWAS-specific
cg02676175,Common
cg02679745,haEWAS-specific
cg02680086,Common
cg02683408,haEWAS-specific
cg02690013,EWAS-specific
cg02691192,Common
cg02692313,EWAS-specific
cg02693607,Common
cg02698900,EWAS-specific
cg02699834,Common
cg02705918,EWAS-specific
cg02707071,Common
cg02712464,Common
cg02726278,EWAS-specific
cg02742969,Common
cg02743878,Common
cg02744249,Common
cg02745912,EWAS-specific
cg02760962,Common
cg02768785,Common
cg02771362,Common
cg02776498,Common
cg02792168,Common
cg02794695,Common
cg02796279,Common
cg02797539,Common
cg02798280,Common
cg02803819,Common
cg02806715,EWAS-specific
cg02814054,haEWAS-specific
cg02827029,Common
cg02836478,haEWAS-specific
cg02841199,Common
cg02847588,Common
cg02855203,Common
cg02861056,Common
cg02872930,haEWAS-specific
cg02873421,Common
cg02879960,Common
cg02884176,Common
cg02887726,EWAS-specific
cg02891728,EWAS-specific
cg02901006,EWAS-specific
cg02902617,Common
cg02903680,Common
cg02905865,Common
cg02914652,haEWAS-specific
cg02916332,Common
cg02923856,Common
cg02930866,Common
cg02947253,Common
cg02947450,Common
cg02947862,EWAS-specific
cg02956248,EWAS-specific
cg02961798,Common
cg02961934,Common
cg02965295,Common
cg02965712,Common
cg02969500,EWAS-specific
cg02973057,Common
cg02977706,haEWAS-specific
cg02984184,Common
cg02993991,Common
cg02997560,haEWAS-specific
cg02997796,haEWAS-specific
cg02997851,Common
cg03000305,EWAS-specific
cg03008387,EWAS-specific
cg03009240,Common
cg03013070,Common
cg03019986,Common
cg03023900,Common
cg03044471,EWAS-specific
cg03047995,EWAS-specific
cg03049501,EWAS-specific
cg03054277,Common
cg03055440,Common
cg03066323,Common
cg03068030,Common
cg03078690,EWAS-specific
cg03086663,Common
cg03089475,Common
cg03089651,Common
cg03097134,haEWAS-specific
cg03099144,Common
cg03116466,haEWAS-specific
cg03138928,Common
cg03143046,EWAS-specific
cg03163759,haEWAS-specific
cg03165343,EWAS-specific
cg03169557,Common
cg03171924,Common
cg03173722,Common
cg03176993,Common
cg03181524,haEWAS-specific
cg03187713,EWAS-specific
cg03187795,Common
cg03193328,Common
cg03195795,Common
cg03202693,Common
cg03217337,Common
cg03218479,Common
cg03233876,Common
cg03257743,Common
cg03263730,Common
cg03266686,Common
cg03270332,Common
cg03278514,Common
cg03282969,haEWAS-specific
cg03286774,Common
cg03291396,Common
cg03301498,Common
cg03308399,Common
cg03313364,EWAS-specific
cg03321813,EWAS-specific
cg03331474,Common
cg03337886,Common
cg03338527,haEWAS-specific
cg03338903,Common
cg03339817,Common
cg03347287,Common
cg03363289,Common
cg03371384,Common
cg03389133,Common
cg03389538,Common
cg03398002,Common
cg03408945,EWAS-specific
cg03412618,Common
cg03419014,Common
cg03425506,haEWAS-specific
cg03429643,EWAS-specific
cg03440631,haEWAS-specific
cg03451296,haEWAS-specific
cg03455765,Common
cg03458695,Common
cg03459531,EWAS-specific
cg03466198,Common
cg03466717,Common
cg03469607,Common
cg03484180,Common
cg03494429,Common
cg03494634,Common
cg03499943,Common
cg03503871,EWAS-specific
cg03505148,Common
cg03519011,Common
cg03520342,EWAS-specific
cg03520644,Common
cg03522107,Common
cg03536885,Common
cg03546977,Common
cg03547924,Common
cg03548490,haEWAS-specific
cg03549705,haEWAS-specific
cg03565777,Common
cg03568673,Common
cg03577139,Common
cg03585017,Common
cg03591753,Common
cg03598731,Common
cg03604367,haEWAS-specific
cg03605404,Common
cg03608224,Common
cg03626672,Common
cg03629151,EWAS-specific
cg03630596,Common
cg03636930,EWAS-specific
cg03640071,EWAS-specific
cg03646542,Common
cg03650946,Common
cg03654623,Common
cg03662049,Common
cg03662545,Common
cg03663556,Common
cg03670132,EWAS-specific
cg03671276,Common
cg03672272,Common
cg03677069,Common
cg03681383,Common
cg03684062,Common
cg03699843,EWAS-specific
cg03701930,EWAS-specific
cg03724423,Common
cg03731131,Common
cg03736235,Common
cg03739609,EWAS-specific
cg03741862,EWAS-specific
cg03744763,haEWAS-specific
cg03744842,Common
cg03745491,Common
cg03746834,Common
cg03750567,Common
cg03750587,Common
cg03752885,Common
cg03753942,Common
cg03755794,haEWAS-specific
cg03760191,Common
cg03762572,Common
cg03763508,Common
cg03765423,Common
cg03772020,Common
cg03775372,Common
cg03776506,Common
cg03799530,Common
cg03801286,Common
cg03803541,Common
cg03806095,Common
cg03808007,Common
cg03809021,haEWAS-specific
cg03814063,Common
cg03844826,Common
cg03867003,Common
cg03870329,Common
cg03871267,Common
cg03876150,Common
cg03886558,Common
cg03887528,Common
cg03890037,EWAS-specific
cg03899510,haEWAS-specific
cg03900143,EWAS-specific
cg03908904,Common
cg03922423,Common
cg03950000,Common
cg03960066,Common
cg03962019,Common
cg03962527,Common
cg03969996,Common
cg03977385,Common
cg03984375,Common
cg04002758,EWAS-specific
cg04006327,Common
cg04007726,EWAS-specific
cg04016730,EWAS-specific
cg04020309,EWAS-specific
cg04026354,Common
cg04027736,Common
cg04048634,haEWAS-specific
cg04052934,Common
cg04055490,Common
cg04056774,Common
cg04058799,Common
cg04063348,Common
cg04072771,haEWAS-specific
cg04078115,Common
cg04079779,EWAS-specific
cg04101806,Common
cg04110902,Common
cg04112866,Common
cg04123310,Common
cg04126652,EWAS-specific
cg04126866,Common
cg04129132,Common
cg04140553,haEWAS-specific
cg04147621,Common
cg04149015,Common
cg04154027,Common
cg04157161,Common
cg04159215,Common
cg04169483,Common
cg04170065,Common
cg04172533,Common
cg04173586,Common
cg04175833,Common
cg04176122,Common
cg04177826,Common
cg04179952,haEWAS-specific
cg04193923,Common
cg04204452,EWAS-specific
cg04205412,Common
cg04206572,haEWAS-specific
cg04210566,Common
cg04212021,EWAS-specific
cg04213841,Common
cg04221833,Common
cg04222409,EWAS-specific
cg04229059,EWAS-specific
cg04234016,EWAS-specific
cg04234190,EWAS-specific
cg04247603,EWAS-specific
cg04248271,Common
cg04250451,Common
cg04252044,Common
cg04254028,Common
cg04254769,Common
cg04256466,Common
cg04264638,Common
cg04266202,Common
cg04268624,EWAS-specific
cg04279801,Common
cg04285318,Common
cg04301614,Common
cg04308797,Common
cg04317399,EWAS-specific
cg04321154,haEWAS-specific
cg04322572,Common
cg04329382,Common
cg04334651,EWAS-specific
cg04340258,Common
cg04341343,Common
cg04345034,Common
cg04347264,Common
cg04351205,EWAS-specific
cg04351734,Common
cg04358214,Common
cg04370106,Common
cg04375683,Common
cg04377609,Common
cg04382396,EWAS-specific
cg04383462,Common
cg04387984,EWAS-specific
cg04396711,Common
cg04407470,EWAS-specific
cg04413853,EWAS-specific
cg04419883,Common
cg04435975,Common
cg04436994,haEWAS-specific
cg04438074,Common
cg04438229,EWAS-specific
cg04452432,Common
cg04453050,Common
cg04472547,haEWAS-specific
cg04474209,haEWAS-specific
cg04477789,EWAS-specific
cg04484550,EWAS-specific
cg04490178,haEWAS-specific
cg04490349,EWAS-specific
cg04496615,EWAS-specific
cg04497889,Common
cg04499514,Common
cg04500377,Common
cg04520340,Common
cg04525852,Common
cg04533276,Common
cg04536829,Common
cg04555312,EWAS-specific
cg04560029,Common
cg04560093,Common
cg04571163,Common
cg04575155,Common
cg04576021,EWAS-specific
cg04577249,Common
cg04587220,Common
cg04597532,haEWAS-specific
cg04600297,Common
cg04602992,Common
cg04607372,Common
cg04608933,Common
cg04610450,EWAS-specific
cg04626878,EWAS-specific
cg04632887,EWAS-specific
cg04636564,EWAS-specific
cg04645050,Common
cg04647982,EWAS-specific
cg04651240,haEWAS-specific
cg04658038,Common
cg04658945,Common
cg04664342,Common
cg04665423,Common
cg04667114,Common
cg04675946,Common
cg04682193,Common
cg04686354,Common
cg04703318,EWAS-specific
cg04716021,Common
cg04717895,Common
cg04722901,Common
cg04728863,Common
cg04737185,EWAS-specific
cg04744409,Common
cg04768479,EWAS-specific
cg04770088,EWAS-specific
cg04774043,Common
cg04775627,Common
cg04778178,Common
cg04781580,Common
cg04784898,Common
cg04790154,Common
cg04797061,EWAS-specific
cg04797885,Common
cg04798016,Common
cg04815973,Common
cg04842215,EWAS-specific
cg04848682,Common
cg04853218,EWAS-specific
cg04856117,Common
cg04870212,EWAS-specific
cg04871472,Common
cg04872689,EWAS-specific
cg04873053,Common
cg04874795,Common
cg04881903,Common
cg04883472,Common
cg04886221,Common
cg04889800,Common
cg04903089,EWAS-specific
cg04903759,Common
cg04904318,Common
cg04907595,Common
cg04910662,Common
cg04913246,Common
cg04913265,Common
cg04913934,EWAS-specific
cg04915300,Common
cg04917446,Common
cg04930596,Common
cg04934031,EWAS-specific
cg04934519,Common
cg04935436,haEWAS-specific
cg04948014,Common
cg04949149,Common
cg04949981,haEWAS-specific
cg04963607,haEWAS-specific
cg04965879,haEWAS-specific
cg04981619,Common
cg04989278,Common
cg05012902,Common
cg05037210,Common
cg05044173,Common
cg05046306,Common
cg05052463,Common
cg05053108,EWAS-specific
cg05053327,Common
cg05066959,Common
cg05068206,EWAS-specific
cg05076221,Common
cg05076730,Common
cg05077231,Common
cg05085585,Common
cg05091135,Common
cg05096637,Common
cg05109569,Common
cg05117638,Common
cg05118482,haEWAS-specific
cg05118960,Common
cg05133205,EWAS-specific
cg05136804,Common
cg05141695,Common
cg05142677,Common
cg05155520,haEWAS-specific
cg05157625,Common
cg05166473,Common
cg05168015,Common
cg05170711,Common
cg05185634,Common
cg05185738,Common
cg05194810,EWAS-specific
cg05201300,Common
cg05206657,Common
cg05210497,Common
cg05224015,EWAS-specific
cg05225996,haEWAS-specific
cg05226462,haEWAS-specific
cg05232889,Common
cg05234326,Common
cg05234415,Common
cg05235171,Common
cg05241536,Common
cg05248655,EWAS-specific
cg05258935,Common
cg05263760,haEWAS-specific
cg05267955,EWAS-specific
cg05280698,Common
cg05280806,Common
cg05287480,Common
cg05292954,haEWAS-specific
cg05293365,Common
cg05303280,Common
cg05303901,Common
cg05306109,Common
cg05308495,EWAS-specific
cg05310240,Common
cg05313153,Common
cg05318777,haEWAS-specific
cg05328547,Common
cg05329578,Common
cg05329879,Common
cg05346831,Common
cg05368971,EWAS-specific
cg05387167,Common
cg05387269,Common
cg05390307,Common
cg05395187,Common
cg05403071,haEWAS-specific
cg05404236,Common
cg05412396,Common
cg05412788,Common
cg05417607,Common
cg05418915,Common
cg05433111,Common
cg05441651,haEWAS-specific
cg05448137,EWAS-specific
cg05456948,EWAS-specific
cg05457684,EWAS-specific
cg05460329,Common
cg05460716,EWAS-specific
cg05463966,Common
cg05485462,Common
cg05494008,Common
cg05498726,EWAS-specific
cg05499499,Common
cg05507697,Common
cg05509359,haEWAS-specific
cg05509777,haEWAS-specific
cg05514299,Common
cg05517976,Common
cg05522011,EWAS-specific
cg05524246,Common
cg05533539,EWAS-specific
cg05544413,Common
cg05549575,Common
cg05565052,haEWAS-specific
cg05569131,Common
cg05584759,Common
cg05584950,haEWAS-specific
cg05590294,EWAS-specific
cg05595692,Common
cg05601456,Common
cg05606351,EWAS-specific
cg05608541,Common
cg05614013,EWAS-specific
cg05642789,haEWAS-specific
cg05643464,EWAS-specific
cg05645755,haEWAS-specific
cg05648303,Common
cg05654164,EWAS-specific
cg05669853,EWAS-specific
cg05687083,EWAS-specific
cg05694021,Common
cg05697249,Common
cg05703096,Common
cg05714396,EWAS-specific
cg05714729,Common
cg05715492,Common
cg05719612,Common
cg05726109,haEWAS-specific
cg05726756,Common
cg05731218,Common
cg05740609,haEWAS-specific
cg05745631,EWAS-specific
cg05747848,haEWAS-specific
cg05751616,haEWAS-specific
cg05766948,Common
cg05767404,Common
cg05793299,haEWAS-specific
cg05796704,Common
cg05796838,Common
cg05800289,Common
cg05800416,Common
cg05810363,Common
cg05812266,EWAS-specific
cg05818824,Common
cg05827190,Common
cg05835431,haEWAS-specific
cg05840338,EWAS-specific
cg05845757,Common
cg05851442,Common
cg05851542,Common
cg05858126,EWAS-specific
cg05860190,haEWAS-specific
cg05861879,EWAS-specific
cg05875463,Common
cg05880829,Common
cg05886689,Common
cg05895618,Common
cg05899103,Common
cg05902063,EWAS-specific
cg05904013,Common
cg05905531,Common
cg05905586,Common
cg05913684,Common
cg05915981,Common
cg05922591,EWAS-specific
cg05923197,Common
cg05923857,Common
cg05928290,Common
cg05931231,Common
cg05935520,Common
cg05945266,Common
cg05949397,Common
cg05959508,Common
cg05961272,EWAS-specific
cg05965387,Common
cg05967123,haEWAS-specific
cg05974498,Common
cg05979457,Common
cg05994850,EWAS-specific
cg05996578,EWAS-specific
cg06005098,Common
cg06008511,Common
cg06009448,Common
cg06013494,Common
cg06019726,Common
cg06024215,Common
cg06025216,Common
cg06026545,EWAS-specific
cg06039074,Common
cg06039988,Common
cg06061257,haEWAS-specific
cg06066452,Common
cg06093152,Common
cg06097370,Common
cg06098530,Common
cg06108383,EWAS-specific
cg06113534,haEWAS-specific
cg06116248,Common
cg06119452,Common
cg06125903,Common
cg06143732,Common
cg06151243,Common
cg06152215,EWAS-specific
cg06154311,Common
cg06157335,EWAS-specific
cg06166490,Common
cg06168149,Common
cg06173513,Common
cg06182923,EWAS-specific
cg06183267,Common
cg06186450,Common
cg06189038,Common
cg06192381,Common
cg06192549,Common
cg06196379,Common
cg06197966,Common
cg06206957,haEWAS-specific
cg06224017,Common
cg06231724,Common
cg06233473,haEWAS-specific
cg06234584,Common
cg06238004,Common
cg06241885,haEWAS-specific
cg06245338,Common
cg06255037,Common
cg06264679,EWAS-specific
cg06271850,Common
cg06275642,Common
cg06285439,Common
cg06287548,Common
cg06291107,haEWAS-specific
cg06294803,Common
cg06305891,Common
cg06312789,Common
cg06322557,Common
cg06340704,Common
cg06340942,EWAS-specific
cg06342490,Common
cg06345027,Common
cg06357748,EWAS-specific
cg06357908,Common
cg06381455,Common
cg06381803,Common
cg06386478,Common
cg06390079,Common
cg06396119,Common
cg06401979,Common
cg06406012,haEWAS-specific
cg06407137,Common
cg06409432,Common
cg06415891,EWAS-specific
cg06416491,Common
cg06422694,EWAS-specific
cg06425868,Common
cg06437747,Common
cg06437840,EWAS-specific
cg06440348,Common
cg06455375,haEWAS-specific
cg06482498,EWAS-specific
cg06489606,Common
cg06492111,Common
cg06493154,Common
cg06518251,EWAS-specific
cg06520331,Common
cg06521280,EWAS-specific
cg06526622,Common
cg06530441,EWAS-specific
cg06545464,EWAS-specific
cg06547513,Common
cg06550018,Common
cg06551697,haEWAS-specific
cg06561886,Common
cg06567722,Common
cg06574422,Common
cg06580879,Common
cg06585734,Common
cg06599594,Common
cg06607384,Common
cg06607764,Common
cg06628473,haEWAS-specific
cg06629767,EWAS-specific
cg06633162,EWAS-specific
cg06635946,Common
cg06646021,Common
cg06647068,Common
cg06673684,haEWAS-specific
cg06690535,Common
cg06693983,Common
cg06700606,Common
cg06704969,Common
cg06710769,Common
cg06721393,Common
cg06732666,EWAS-specific
cg06744545,Common
cg06746112,haEWAS-specific
cg06747432,Common
cg06758644,Common
cg06759518,EWAS-specific
cg06760238,Common
cg06768599,Common
cg06769918,Common
cg06782204,haEWAS-specific
cg06784824,Common
cg06786238,Common
cg06787669,Common
cg06800235,Common
cg06804344,Common
cg06807397,Common
cg06811094,Common
cg06811467,Common
cg06825448,Common
cg06829760,Common
cg06830360,EWAS-specific
cg06830450,Common
cg06832406,Common
cg06834507,Common
cg06836948,Common
cg06847624,Common
cg06850526,Common
cg06852461,Common
cg06856840,Common
cg06869935,Common
cg06871560,EWAS-specific
cg06872019,Common
cg06875162,EWAS-specific
cg06878108,haEWAS-specific
cg06881965,EWAS-specific
cg06889108,Common
cg06893296,EWAS-specific
cg06902025,EWAS-specific
cg06902698,Common
cg06907680,Common
cg06912304,Common
cg06925882,Common
cg06931418,Common
cg06934654,Common
cg06937409,Common
cg06938705,EWAS-specific
cg06962918,Common
cg06965195,Common
cg06971227,haEWAS-specific
cg06977285,Common
cg06986584,EWAS-specific
cg06988336,Common
cg06996175,Common
cg06996273,EWAS-specific
cg06997549,Common
cg07002058,Common
cg07012687,Common
cg07013258,Common
cg07016556,EWAS-specific
cg07016605,Common
cg07018107,Common
cg07021288,EWAS-specific
cg07039378,EWAS-specific
cg07044938,Common
cg07047570,Common
cg07048527,Common
cg07049592,Common
cg07051221,Common
cg07059925,Common
cg07060794,Common
cg07061298,Common
cg07063890,Common
cg07067090,haEWAS-specific
cg07067993,Common
cg07073662,Common
cg07086226,haEWAS-specific
cg07094847,EWAS-specific
cg07107756,Common
cg07110356,EWAS-specific
cg07118796,Common
cg07118895,haEWAS-specific
cg07119472,Common
cg07127888,Common
cg07136133,Common
cg07141504,Common
cg07143125,Common
cg07148341,Common
cg07148458,Common
cg07153966,Common
cg07170641,Common
cg07180538,Common
cg07184237,Common
cg07188648,Common
cg07188665,Common
cg07197059,Common
cg07207652,Common
cg07215695,haEWAS-specific
cg07217824,Common
cg07234097,Common
cg07238439,Common
cg07253712,Common
cg07253829,Common
cg07264048,Common
cg07264904,Common
cg07278425,Common
cg07281370,Common
cg07290269,EWAS-specific
cg07292773,Common
cg07310671,Common
cg07317062,Common
cg07318128,Common
cg07318204,EWAS-specific
cg07328519,Common
cg07345108,EWAS-specific
cg07349094,Common
cg07349815,Common
cg07354506,EWAS-specific
cg07357279,Common
cg07366670,Common
cg07368661,Common
cg07370771,Common
cg07388018,EWAS-specific
cg07403350,Common
cg07408456,Common
cg07416664,haEWAS-specific
cg07417745,Common
cg07420362,Common
cg07438103,Common
cg07450210,Common
cg07464217,Common
cg07466788,Common
cg07478467,haEWAS-specific
cg07480446,Common
cg07486199,Common
cg07495389,Common
cg07498879,Common
cg07503630,Common
cg07503662,Common
cg07505433,Common
cg07512993,Common
cg07522913,Common
cg07523753,Common
cg07530172,Common
cg07561747,Common
cg07571638,Common
cg07589968,haEWAS-specific
cg07599786,Common
cg07616871,Common
cg07623116,Common
cg07623567,EWAS-specific
cg07624815,Common
cg07630327,Common
cg07636142,Common
cg07656173,haEWAS-specific
cg07675031,Common
cg07676709,Common
cg07684775,Common
cg07687398,Common
cg07696006,Common
cg07696516,Common
cg07698804,EWAS-specific
cg07699546,Common
cg07719172,Common
cg07724905,Common
