CpG,Gene,Discovery_group,EWAS_abs_estimate,haEWAS_abs_estimate
cg19017293,UTS2R,EWAS-specific,0.208377020811251,0.92548918011152
cg19617161,AC005019.2,EWAS-specific,0.0002095955871428,0.0002106975799247
cg21117965,SLC4A3,EWAS-specific,0.058996832715395,0.236927962455605
cg21236153,KIAA1161,EWAS-specific,0.113065552283861,0.945544936299505
cg22165685,MTG1,EWAS-specific,0.0968451599951962,0.12215533818936
cg22331200,HSF5,EWAS-specific,0.0120608190892636,0.0112667387788105
cg22660933,HOXB9,EWAS-specific,0.0071778588603646,0.0345799651232208
cg23450038,SF3A2,EWAS-specific,0.0802351027832141,0.0944285971036905
cg23865240,HOTTIP,EWAS-specific,0.0035009891622398,0.0491198188716708
cg24040595,EVX1-AS,EWAS-specific,0.0011836246998542,0.0048000630624834
cg24040595,HOTTIP,EWAS-specific,0.0021993449601931,0.0121203933164945
cg24040595,HOXA-AS3,EWAS-specific,4.57769118589393e-05,0.0002658713829143
cg24040595,HOXA4,EWAS-specific,0.0145230275764326,0.0701352192317158
cg24040595,HOXA6,EWAS-specific,0.0001547756954354,0.000628828931684
cg25010124,AP003068.23,EWAS-specific,0.225809911826358,0.257039928125365
cg25153759,VENTX,EWAS-specific,0.090318596592924,0.239550240736522
cg25382900,TNFRSF1B,EWAS-specific,0.119446985935145,0.136537276107009
cg25415932,MTMR14,EWAS-specific,0.0657902725732231,0.134071443332322
cg25686087,SNRPD2,EWAS-specific,0.097521912432346,0.422823455628932
cg25967031,HOXA-AS2,EWAS-specific,0.0047935418482371,0.0616638228765167
cg26088629,MCF2L,EWAS-specific,0.0987162982939197,0.155746805811626
cg26619671,SPG7,EWAS-specific,0.115769687535877,0.107219430807297
cg27257453,RP11-483P21.6,EWAS-specific,0.0007402806057604,0.0028664358919737
cg27459529,WDFY4,EWAS-specific,0.082462212605793,0.0821389835589008
cg00025044,OGDHL,Common,0.147581995667104,0.246200880251366
cg00035969,C1orf162,Common,0.533268101151353,1.5108591565283
cg00035969,FAM212B-AS1,Common,0.132300446412216,0.369870147914314
cg00035969,WDR77,Common,0.158528583456111,0.447727197642751
cg00057966,MIR142,Common,0.214682129670074,0.255402678600022
cg00057966,MTMR4,Common,0.0771210913226066,0.0933492607836046
cg00057966,SUPT4H1,Common,0.073082371640205,0.0860221222958756
cg00064020,CHRD,Common,0.225216270333639,1.13274709989058
cg00064020,CLCN2,Common,0.171541164159616,1.07808204956006
cg00087884,KLHL21,Common,0.2099942759344,0.240403235350393
cg00091064,RP11-328M4.3,Common,0.0001335407530841,0.0018521548978148
cg00091064,TREM2,Common,0.333778526564917,2.68630556402115
cg00091064,TREML4,Common,0.0386539075633458,0.315909117782393
cg00101457,RP11-397O4.1,Common,0.501096813356794,1.78264286826344
cg00106345,HOTTIP,Common,0.0026713718090874,0.0065956903206881
cg00106345,HOXA6,Common,0.0001437146083876,0.0003579553225618
cg00118783,RP11-616M22.1,Common,0.0350794023377638,0.0944276569214723
cg00118783,RP11-616M22.3,Common,0.0975438951117626,1.47692701282458
cg00142036,BEND7,Common,0.0744427907829858,0.131798760354558
cg00147172,RP6-109B7.4,Common,0.0538160027036467,0.240287372990636
cg00147172,TTC38,Common,0.0810216097174066,0.377290811239271
cg00153919,PIEZO1,Common,0.245687908884747,0.252489397971988
cg00153919,RP11-830F9.7,Common,0.0814050494597233,0.0850516990732954
cg00156001,RP5-983L19.2,Common,0.0094383352781732,0.0108993921718526
cg00162806,MTG1,Common,0.20752432206557,1.00468072364648
cg00162806,VENTX,Common,0.211060934712808,0.974298421194751
cg00166216,AC090505.4,Common,0.0012256758277664,0.0029501979237878
cg00171729,GSTA2,Common,0.0125025640520686,0.0530389968193387
cg00206233,AP001627.1,Common,0.041287939575421,0.0467725795749661
cg00206233,TMPRSS3,Common,0.176617920105675,0.199060074944678
cg00235484,MAP7,Common,0.0652011628913299,0.0697230254362412
cg00240653,NEUROD4,Common,0.0037624991786011,0.0071563446516266
cg00268744,RP11-96D1.7,Common,0.0684457918001783,0.101416928599347
cg00287773,HBEGF,Common,0.140668877645101,0.502362800282465
cg00287773,PFDN1,Common,0.0777159529806404,0.267403276227402
cg00291213,RUNX1,Common,0.157826038911588,0.794663659014801
cg00291478,TXNP1,Common,0.0269469113337862,0.0399443280452165
cg00326231,CLDN5,Common,0.411164091631962,1.01584116116649
cg00326231,CLTCL1,Common,0.227752707128968,0.53926126683451
cg00332146,CDHR2,Common,0.148188680530137,0.180044133166246
cg00332146,KIAA1191,Common,0.14176630520266,0.174751680455663
cg00332146,RP11-843P14.1,Common,0.000352294778875,0.0004297332886157
cg00332146,RP11-844P9.3,Common,0.115419913031067,0.14048631700568
cg00340349,RP11-203J24.8,Common,0.0248465738845151,0.0356813701273729
cg00423364,DRD4,Common,0.291149465307312,1.06281956058469
cg00423364,PIDD,Common,0.239667972380732,1.50978835371784
cg00424169,LINC00398,Common,0.142491888839498,1.26535315405095
cg00439384,ADCY5,Common,0.0759851605441495,0.456324381971045
cg00452882,NRN1L,Common,0.0937664650218819,1.05427703542677
cg00453717,POLD3,Common,0.0662665162712959,0.126333841128741
cg00453717,RP11-702H23.6,Common,0.0002040761282482,0.0003759672950796
cg00477302,RP11-306G20.1,Common,0.0123304678993695,0.015936702435143
cg00488091,STX11,Common,0.199570476875469,0.234877870941152
cg00488091,UTRN,Common,0.269713470653275,0.332030416035021
cg00495443,IL17RA,Common,0.0826671435808066,0.128313817395509
cg00501467,RP1-257A7.4,Common,0.128728067566023,0.214997214258596
cg00502254,TNFRSF1B,Common,0.326726994321295,0.333606269397402
cg00509451,AP001187.1,Common,0.0319283214279111,0.035656101302024
cg00509451,MIR194-2,Common,0.0231602300097067,0.0257136038475157
cg00510320,NUTF2,Common,0.038746509436393,0.12176150577334
cg00513941,CD79A,Common,0.0664832953608263,0.0755668581993482
cg00513941,CEACAM3,Common,0.0378122840443017,0.244158766350063
cg00524443,RPL9P28,Common,8.39477057948e-05,0.0002577488539963
cg00534022,AC011747.7,Common,0.179537792592888,0.222322107177683
cg00555456,ACN9,Common,0.160039690538561,0.195606741456684
cg00562553,HOXA3,Common,0.0138662024025743,0.396654049352223
cg00562553,SKAP2,Common,0.151541821202952,2.83294413841127
cg00574740,RP11-173B14.5,Common,0.1812317158431,0.691816313321808
cg00575665,MAFB,Common,0.295641809803734,0.465715887114118
cg00582562,HOXB-AS1,Common,0.092222439197782,0.301363125438297
cg00582562,SKAP1,Common,0.163849671869223,0.446375684669556
cg00588297,C2orf81,Common,0.284478889945071,0.365806789202649
cg00588297,LBX2,Common,0.0452730298700428,0.05594416356721
cg00588297,LOXL3,Common,0.221066827350187,0.328385399899316
cg00588297,M1AP,Common,0.175566338932622,0.283131476090541
cg00588297,MOGS,Common,0.191192871135173,0.236508353566867
cg00588297,SEMA4F,Common,0.281915362804975,0.383325233688415
cg00591868,NDUFA13,Common,0.0911606223591292,0.0672355191387208
cg00593607,EEA1,Common,0.081259246310705,0.0918536048561776
cg00621289,YBEY,Common,0.213061757074453,0.237400688477351
cg00675737,RP1-168P16.2,Common,0.213303870421964,1.25927499355927
cg00677334,CDH1,Common,0.193561718873189,0.428249984370726
cg00677334,RP11-354M1.2,Common,0.0004811425553976,0.0010380616267146
cg00679184,MLH3,Common,0.271522733264229,1.3882160283785
cg00682096,HOXB7,Common,0.0105439083606871,0.0356058472548881
cg00682096,SKAP1,Common,0.110253487902929,0.43656623910433
cg00754357,RN7SL62P,Common,0.0035913326168277,0.0546593015686098
cg00757207,EFNB3,Common,0.142620551096564,0.300658453298429
cg00757207,NLGN2,Common,0.14454170507866,0.278869457680912
cg00757207,SAT2,Common,0.108859254858108,0.140481644225273
cg00757207,SENP3,Common,0.130314755678515,0.245526214817534
cg00757207,SENP3-EIF4A1,Common,0.0444736193453027,0.0965692468621309
cg00757207,SNORA67,Common,0.161497449687405,0.355246445019086
cg00757207,WRAP53,Common,0.183949134051227,0.340445713000171
cg00757207,ZBTB4,Common,0.0812793081475721,0.148463322471666
cg00759427,OPRL1,Common,0.184238838821578,0.279439286168712
cg00759427,TPD52L2,Common,0.0907925554227363,0.138464535259465
cg00767496,CTD-2651B20.3,Common,0.206539054563116,0.66586547520432
cg00767496,SPATA5L1,Common,0.104466826318882,0.332516327047321
cg00769161,RP11-620J15.3,Common,0.0647594980478923,0.388744824382062
cg00769161,TSFM,Common,0.0566576770502984,0.303003702141451
cg00769161,TSPAN31,Common,0.0612332682840319,0.357797306430114
cg00792107,FBRSL1,Common,0.164270458643522,0.227471615763173
cg00792107,PGAM5,Common,0.203138439644165,0.283437841543715
cg00792107,RP11-503G7.2,Common,0.0001480777247227,0.0002160362503957
cg00816609,HDAC11,Common,0.0995146126922046,0.152000263844306
cg00816609,NUP210,Common,0.10054072334559,0.154970031770206
cg00828556,AC092933.4,Common,0.0221762704836033,0.0245945560752584
cg00835857,EXOSC4,Common,0.108957954228331,0.200201867689361
cg00835857,KIAA1875,Common,0.209187562584464,0.394714122503392
cg00835857,SPATC1,Common,0.0217352850967105,0.0385124298691
cg00839584,AC079922.2,Common,0.308145175222257,6.37621127536836
cg00851518,TMEM222,Common,0.0571316828098414,0.123081719421272
cg00908571,CKAP2L,Common,0.069229514993982,0.545713844210791
cg00965578,APOL2,Common,0.147330044830054,19412820975.6298
cg00965578,APOL3,Common,0.226382894779533,18581631946.0728
cg00965578,APOL4,Common,0.400245439622973,46047813214.7177
cg00975624,SCHIP1,Common,0.192512336970992,21229808001.7674
cg00990350,CCDC147-AS1,Common,0.225902105240142,0.433410547186358
cg00990350,ITPRIP,Common,0.229635954988319,0.473346236210001
cg00990350,SFR1,Common,0.194975398472119,0.363878209700147
cg00990385,OAS3,Common,0.193033820782583,0.427352486376236
cg01008405,ECSCR,Common,0.722852671407592,3.15833121795851
cg01008405,PSD2,Common,0.50350690328188,2.15722154162512
cg01037082,RP1-231P7P.1,Common,0.0002940645645989,0.0003763037278304
cg01062942,EPHX3,Common,0.0194849672615004,0.0365454595414908
cg01080902,CADM4,Common,0.0723709708877451,0.171368322949005
cg01080902,KCNN4,Common,0.176032503141448,0.420942597461875
cg01108243,CTSZ,Common,0.108086552872319,0.118020585137945
cg01139039,CDK5,Common,0.0873846066639315,0.185261497625738
cg01139861,ZPBP,Common,0.0166232340259347,0.111605523907054
cg01147055,CDC16,Common,0.0577175728935489,0.0774018093897338
cg01163340,RP11-143E21.6,Common,0.034580648934437,0.0359294637616369
cg01174743,LDHAL6FP,Common,0.0244760988578238,0.0612210857303997
cg01175550,HOXA10,Common,0.0185552850427901,0.0670174152919887
cg01175550,HOXA2,Common,0.002546660847358,0.0099946934394214
cg01215742,RP11-161M6.2,Common,0.130933666191129,0.238184185145768
cg01217984,HOXA6,Common,0.0002062089393208,0.0027789817317309
cg01240931,AC008536.1,Common,0.0007961239338511,0.0020237000382462
cg01240931,SRP19,Common,0.102510906870892,0.238698931277104
cg01269795,BTN2A2,Common,0.231882842442838,0.944492904596201
cg01269795,BTN3A1,Common,0.214226769130711,0.881865587851591
cg01269795,BTN3A2,Common,0.388284608924537,1.5232168416696
cg01269795,RP1-34B20.4,Common,0.120830504052643,0.459381755457529
cg01278291,CTD-2301A4.3,Common,0.162757997322009,0.184303979039738
cg01278291,RGS14,Common,0.364884149502479,0.409258684849666
cg01291088,GFOD2,Common,0.0650093938713879,0.260437010606215
cg01291088,NUTF2,Common,0.0381691473888916,0.153330395810255
cg01301319,HOXA7,Common,0.0229330847161988,0.250174114444837
cg01317029,EIF2B5-AS1,Common,0.0482753594499929,0.228647359956335
cg01323381,RPL7AP38,Common,0.0001012594174666,0.0016202953993854
cg01326048,RP11-61F12.1,Common,0.0102922930501896,0.0165183037068173
cg01353646,DCTN2,Common,0.0566873930053231,0.192213641636451
cg01353646,TSPAN31,Common,0.0881224183042952,0.303094170966704
cg01353646,XRCC6BP1,Common,0.092594144460682,0.313476927046427
cg01370449,HOXA-AS3,Common,5.12006082392324e-05,0.0003705153283773
cg01370449,HOXA10-AS,Common,0.0013993293062349,0.0105007084115721
cg01382502,PDZD9,Common,0.0118046229688282,0.0118142973540359
cg01408486,CTB-35F21.1,Common,0.0625759830272888,0.518268673184812
cg01408486,DNAJC18,Common,0.131332591102561,1.10217367339354
cg01416295,BCAN,Common,0.113787493400835,0.467816476678145
cg01419713,AP3M2,Common,0.0793659748199159,0.951362736132025
cg01431057,S100A12,Common,0.47375600524558,0.697530064582423
cg01431057,S100A13,Common,0.249899721291181,0.352196654046006
cg01431057,S100A8,Common,0.965814282513058,1.30275714952407
cg01431057,S100A9,Common,0.881955212009545,1.16761328911624
cg01439383,BRAT1,Common,0.248820327656388,0.90438653561338
cg01439383,TTYH3,Common,0.251435854624792,0.915222229268309
cg01463828,BIN3,Common,0.0705450646748826,0.157805556807146
cg01463828,C8orf58,Common,0.0707942891718731,0.169514255081191
cg01463828,RP11-582J16.3,Common,0.0021772045556704,0.0045645950353201
cg01463828,RP11-582J16.5,Common,0.124029296659703,0.316141251237302
cg01476222,COMMD9,Common,0.121456018355053,16878796102.1008
cg01478234,PRDM4,Common,0.0899293057803336,0.39663300898886
cg01496136,COQ9,Common,0.122197394330796,0.14014914612476
cg01496136,FAM192A,Common,0.130173108049164,0.161941077330808
cg01526089,P2RX1,Common,0.0941115202941884,0.137089592610563
cg01539849,MADD,Common,0.101510075708564,1.29448822298217
cg01539849,SPI1,Common,0.151884068264742,2.28268847663757
cg01564661,IGHG2,Common,0.306833087541844,0.282815394427733
cg01564661,IGHGP,Common,0.0319353041220422,0.676028470951595
cg01564661,PACS2,Common,0.158309446984414,1.25961206901991
cg01565774,OLA1P3,Common,0.0271422241353524,0.131352617228748
cg01565774,PA2G4,Common,0.123935132906339,0.641379917015765
cg01565774,RP11-603J24.4,Common,0.0215992901571882,0.108235258110975
cg01571001,RAB7A,Common,0.0696464614090561,0.3999377699472
cg01574390,OTOA,Common,0.174023112465347,1.2855673617356
cg01590338,U3,Common,0.0793093113847714,0.0678906594035451
cg01604883,CD74,Common,0.226937812275005,0.430808992922059
cg01642550,CBFA2T3,Common,0.0969406863087284,0.114911147705037
cg01642550,PABPN1L,Common,0.091073716327605,0.105421710672293
cg01652190,C22orf34,Common,0.169226994009571,0.372807662412596
cg01652190,RP1-29C18.8,Common,0.0843837290207609,0.187784628677172
cg01652190,RP1-29C18.9,Common,0.0314563898073486,0.0689150815251601
cg01657186,KDM5A,Common,0.145313539752903,0.388845598618448
cg01666652,CTD-2555K7.2,Common,0.0984222311352453,0.112763905619268
cg01688936,PRR14,Common,0.162531614341347,0.211692931178979
cg01698392,USP36,Common,0.084250377510744,0.093271724799501
cg01702055,TBC1D7,Common,0.261778743542177,1.36832505776395
cg01731500,HEXDC,Common,0.181995067822293,0.16918899804457
cg01731500,STRA13,Common,0.117015469111894,0.108607332525972
cg01739831,DEF8,Common,0.0621359687586321,0.0736897907450598
cg01753263,KLF3P1,Common,0.0688744939484396,0.112397012029271
cg01817364,ZNF131,Common,0.0754942641562525,0.152506822723874
cg01856384,TREM2,Common,0.204663488696127,3.06131439388091
cg01856529,ITGA5,Common,0.14221527185067,0.243820350987233
cg01870657,ALG11,Common,0.154113500220219,0.263207672905115
cg01876130,ARID5A,Common,0.236646387199697,0.72718082122614
cg01877450,LMTK2,Common,0.23332589766786,0.344366943298757
cg01877450,TECPR1,Common,0.219246804416135,0.342557416006282
cg01891818,HID1,Common,0.0818652625417842,0.116613147122633
cg01941881,MTA1,Common,0.0900507989269889,0.108590142202027
cg01951274,MIR142,Common,0.347499573163183,0.469187992213442
cg01951274,MTMR4,Common,0.110708950668131,0.151773607955231
cg01964852,HOXA6,Common,0.0001317135976302,0.0087892535312748
cg01966665,PIP5K1A,Common,0.0703017132385616,0.436603393270146
cg01966665,RP11-316M1.12,Common,0.0414394625184533,0.263831838392852
cg01973695,KCNJ5,Common,0.06596076619454,0.426276847174014
cg01978937,NOP56,Common,0.146341683946813,0.153323548929663
cg01978937,TMEM239,Common,0.0010743158036395,0.0011970782728147
cg02000253,IER2,Common,0.232314668662625,0.748055251228009
cg02000253,JUNB,Common,0.443959286391405,1.38356262191581
cg02000253,RAD23A,Common,0.100127664891597,0.309902242494693
cg02004337,RP3-399L15.3,Common,0.121547437699064,0.507974730972677
cg02023973,AL031721.1,Common,0.0043166188007933,0.0061783022087259
cg02023973,HN1L,Common,0.0960178955832703,0.136746024731522
cg02023973,TPSAB1,Common,0.127925052792965,0.184034818846488
cg02026204,AC004832.1,Common,0.0444075196162296,0.0669695622634571
cg02026204,RP4-539M6.14,Common,0.002831599796534,0.00556045405835
cg02026204,TBC1D10A,Common,0.09832799241022,0.166021603544218
cg02026306,FCGRT,Common,0.148917433912392,0.948942198865528
cg02026306,MED25,Common,0.0729435462158062,0.4734976995815
cg02026306,NUP62,Common,0.067609605982575,0.416841545388449
cg02028339,RP11-624M8.1,Common,0.284383284868838,0.47878204180019
cg02066343,LINC00336,Common,0.0434056262342218,0.0496954039602408
cg02073304,TMEM54,Common,0.133762257178761,0.1831948463097
cg02075410,LRBA,Common,0.0874336561400017,0.175090134051739
cg02075410,MAB21L2,Common,0.0306324998262071,0.0672208211507118
cg02106682,HOXA10-AS,Common,0.0017505849675975,0.0067691669403841
cg02110830,RPS6KL1,Common,0.128098583199884,0.140281362469181
cg02124912,PTPN7,Common,0.100430755069017,0.239544041939464
cg02142483,TLDC1,Common,0.0540027935252148,0.104212264873236
cg02143404,COX4I1,Common,0.0775334112741831,0.190191376894929
cg02152034,EMID1,Common,0.122604494222456,0.238704911165396
cg02152034,RNU6-1219P,Common,0.0007785263120684,0.0014277532767206
cg02153814,GP5,Common,0.021434295849873,0.0510646504296791
cg02156769,LCN12,Common,0.337752671647874,3.21515549503666
cg02156769,LCNL1,Common,0.338405488745988,2.44439949489529
cg02156769,MAMDC4,Common,0.180326078902243,1.53038689628565
cg02156769,NPDC1,Common,0.141505535885311,1.22192389411193
cg02156769,SNHG7,Common,0.314163975558379,1.77850949067046
cg02156769,TMEM210,Common,0.055788598507895,0.444590820709099
cg02182476,CTB-133G6.1,Common,0.0135223448797481,0.0173988486150728
cg02189760,CD37,Common,0.15080048845395,0.355694839060632
cg02207686,VENTX,Common,0.121214323320342,0.260238310067336
cg02216731,AL022341.1,Common,0.0968770044331971,0.226503616315187
cg02216731,C16orf13,Common,0.0916989981201398,0.180615498824692
cg02216731,LA16c-313D11.12,Common,0.068599538285969,0.15470549318849
cg02225599,HOTTIP,Common,0.0024690983104318,0.0158546343304605
cg02226192,SPG7,Common,0.0794423100718187,0.102892443476666
cg02231404,LINC00176,Common,0.0651435891567926,0.227383132320682
cg02231404,MIR941-2,Common,0.167482723536175,0.587006741402492
cg02244028,CSRNP1,Common,0.187562324614685,0.210149448671541
cg02244175,C5orf27,Common,0.140863976432834,0.260700717945456
cg02258534,TRPM5,Common,0.0134211927801847,0.0148012229673347
cg02266731,AC124890.1,Common,0.14672914131476,9098178718.37836
cg02266731,MDM2,Common,0.121860736397244,17174155656.9336
cg02266731,RP11-611O2.5,Common,0.0725316709535899,14135546444.6267
cg02268192,RIN3,Common,0.128969109848723,0.172607102793557
cg02283487,RPPH1,Common,0.110496620041749,0.141935704484423
cg02284273,FRMD4A,Common,0.104155598145903,0.86042438474197
cg02293044,RNU6-1219P,Common,0.0012017559816861,0.0026996907488575
cg02297801,RP1-140A9.1,Common,0.312999283579042,1.04195608701024
cg02308560,AZU1,Common,0.106095695131753,0.235856961388464
cg02308560,C19orf26,Common,0.121442680937421,0.268494287284103
cg02308560,CIRBP-AS1,Common,0.0400351594858361,0.102024534398061
cg02308560,EFNA2,Common,0.0607204658206792,0.147710235529336
cg02308560,HMHA1,Common,0.136192139737431,0.355946055078536
cg02308560,MUM1,Common,0.0704368575666916,0.177900718462893
cg02317313,TMEM120B,Common,0.0747839219019768,0.124443552924776
cg02324432,RP11-366M4.12,Common,0.0295890304777233,0.0687497631309806
cg02329038,HOXB7,Common,0.0189590607061842,1.37554569573558
cg02349866,RP11-617F23.1,Common,0.199636804476074,0.25963549476105
cg02349866,RPL36AP43,Common,0.139410948376139,0.175837746007314
cg02349866,ZNF710,Common,0.179554296180457,0.230182724237768
cg02435538,RHBDD2,Common,0.0895010922952583,0.09659796697246
cg02435538,RPL7L1P3,Common,0.0985933244724199,0.106138801396514
cg02459543,TMEM67,Common,0.129094812822567,0.203728702480594
cg02481950,CTB-31N19.2,Common,0.0150117486751337,2986777167.38853
cg02481950,CTD-2547E10.2,Common,0.39240326486596,27235229488.1771
cg02489552,EMR2,Common,0.18995129275123,1.26254667430777
cg02497428,OTOA,Common,0.127315578795955,0.179271237369519
cg02497428,SLC7A5P2,Common,0.278262136038543,0.393444545015506
cg02506717,CREB5,Common,0.156457685534243,0.275490465601683
cg02512168,RP11-473M20.11,Common,0.0934036486611303,0.18098472580858
cg02538681,LIPF,Common,0.0183928806487258,0.0625392874517114
cg02573234,DPF2,Common,0.129548789015474,0.160622626571338
cg02583525,DRC1,Common,0.128330694245222,0.23078153069618
cg02583525,GAREML,Common,0.328939906089824,0.59868932726336
cg02627455,HOXA10,Common,0.0253234908970433,0.17788736536448
cg02637537,RP11-582J16.5,Common,0.138273406775889,0.379425786113279
cg02645368,GPR123,Common,0.0966089325814632,0.14971137616062
cg02645368,RP11-108K14.8,Common,0.091018025151917,0.141136067830159
cg02645368,VENTX,Common,0.149792010578517,0.233036905981431
cg02649613,AC105206.1,Common,0.0582145115411571,0.121418074060501
